,AGNO,RBD,DGV_RBD,NOM_RBD,MRUN,RUT_SOSTENEDOR,P_JURIDICA,COD_REG_RBD,COD_PRO_RBD,COD_COM_RBD,NOM_COM_RBD,COD_DEPROV_RBD,NOM_DEPROV_RBD,COD_DEPE,COD_DEPE2,RURAL_RBD,LATITUD,LONGITUD,CONVENIO_PIE,ENS_01,ENS_02,ENS_03,ENS_04,ENS_05,ENS_06,ENS_07,ENS_08,ENS_09,MATRICULA,ESTADO_ESTAB,ORI_RELIGIOSA,ORI_OTRO_GLOSA,PAGO_MATRICULA,PAGO_MENSUAL
656,2018,818,4,ESCUELA LOS CLONQUIS, ,69040800,1,4,43,4303,MONTE PATRIA,42,LIMARI,2,1,1,"-30,76325798","-70,70652008",0,110,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
657,2018,819,2,ESCUELA BUENAVENTURA, ,69040800,1,4,43,4303,MONTE PATRIA,42,LIMARI,2,1,1,"-30,76568794","-70,68566895",0,110,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
658,2018,820,6,ESCUELA SOL DEL CUYANO, ,69040800,1,4,43,4303,MONTE PATRIA,42,LIMARI,2,1,1,"-30,92906952","-70,77468872",0,110,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO
659,2018,821,4,ESCUELA DE FLOR DEL VALLE, ,69040800,1,4,43,4303,MONTE PATRIA,42,LIMARI,2,1,1,"-30,70263863","-70,92612457",1,10,110,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
660,2018,822,2,ESCUELA JUNTAS, ,69040800,1,4,43,4303,MONTE PATRIA,42,LIMARI,2,1,1,"-30,71164513","-70,87995911",1,10,110,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
661,2018,823,0,ESCUELA BASICA COLLIGUAY, ,69040800,1,4,43,4303,MONTE PATRIA,42,LIMARI,2,1,1,"-30,85175705","-70,74198151",0,110,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO
662,2018,824,9,ESCUELA HEROES DE CHILE, ,69040800,1,4,43,4303,MONTE PATRIA,42,LIMARI,2,1,1,"-30,75487137","-70,6526413",0,110,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
663,2018,825,7,ESCUELA BASICA PABLO NERUDA, ,69040800,1,4,43,4303,MONTE PATRIA,42,LIMARI,2,1,1,"-30,82385635","-70,80046844",0,110,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
664,2018,826,5,ESCUELA BASICA HACIENDA VALDIVIA, ,69040800,1,4,43,4303,MONTE PATRIA,42,LIMARI,2,1,1,"-30,75186348","-70,67537689",0,110,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
665,2018,827,3,COLEGIO RIO GRANDE, ,69040800,1,4,43,4303,MONTE PATRIA,42,LIMARI,2,1,0,"-30,85521126","-70,77108765",1,10,110,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
666,2018,828,1,ESCUELA FLOR DE LOS ANDES, ,69040800,1,4,43,4303,MONTE PATRIA,42,LIMARI,2,1,1,"-31,01432244","-70,66477164",0,0,0,0,0,0,0,0,0,0,0,3,9, ,GRATUITO,SIN INFORMACION
667,2018,830,3,ESCUELA MARCELA PAZ, ,69040800,1,4,43,4303,MONTE PATRIA,42,LIMARI,2,1,1,"-30,81935692","-70,97327423",1,110,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
668,2018,831,1,ESCUELA VALLE NEVADO, ,69040800,1,4,43,4303,MONTE PATRIA,42,LIMARI,2,1,1,"-30,89405632","-70,66075897",0,0,0,0,0,0,0,0,0,0,0,1,1, ,GRATUITO,GRATUITO
669,2018,833,8,ESCUELA SANTA BERNARDITA, ,69040800,1,4,43,4303,MONTE PATRIA,42,LIMARI,2,1,1,"-30,85412788","-70,7075882",1,10,110,0,0,0,0,0,0,0,1,1,7,NINGUNA,GRATUITO,GRATUITO
670,2018,834,6,ESCUELA SARGENTO CANDELARIA PEREZ, ,69040800,1,4,43,4303,MONTE PATRIA,42,LIMARI,2,1,1,"-30,83903266","-70,66630614",0,0,0,0,0,0,0,0,0,0,0,2,2, ,GRATUITO,GRATUITO
671,2018,835,4,ESCUELA CARMELA PRAT, ,69040800,1,4,43,4303,MONTE PATRIA,42,LIMARI,2,1,1,"-30,8836174","-70,77372742",0,110,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO
672,2018,836,2,ESCUELA INES DE SUAREZ, ,69040800,1,4,43,4303,MONTE PATRIA,42,LIMARI,2,1,1,"-30,71627235","-70,81040955",0,110,0,0,0,0,0,0,0,0,1,1,7,EN VALORES,GRATUITO,GRATUITO
673,2018,837,0,ESCUELA ESPERANZA DE HUANA, ,69040800,1,4,43,4303,MONTE PATRIA,42,LIMARI,2,1,1,"-30,70597458","-70,95994568",1,10,110,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
674,2018,838,9,ESCUELA PROFESOR MANUEL ORTIZ QUINTANA, ,69040800,1,4,43,4303,MONTE PATRIA,42,LIMARI,2,1,1,"-30,75281143","-70,85684967",1,110,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO
675,2018,839,7,ESCUELA CHILECITO, ,69040800,1,4,43,4303,MONTE PATRIA,42,LIMARI,2,1,1,"-30,75277519","-70,84384918",1,10,110,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
676,2018,840,0,ESCUELA OMAR ELORZA SMITH, ,69040800,1,4,43,4303,MONTE PATRIA,42,LIMARI,2,1,1,"-30,85663981","-70,74593812",0,0,0,0,0,0,0,0,0,0,0,2,2, ,GRATUITO,GRATUITO
677,2018,841,9,ESCUELA PULPICA, ,69040800,1,4,43,4303,MONTE PATRIA,42,LIMARI,2,1,1,"-30,88600922","-70,78229523",0,0,0,0,0,0,0,0,0,0,0,1,2, ,GRATUITO,GRATUITO
678,2018,842,7,ESCUELA BASICA LA MOLLACANA, ,69040800,1,4,43,4303,MONTE PATRIA,42,LIMARI,2,1,1, , ,0,0,0,0,0,0,0,0,0,0,0,3,9, ,SIN INFORMACION,SIN INFORMACION
679,2018,843,5,ESCUELA LOS PERALES DE CAMPANARIO, ,69040800,1,4,43,4303,MONTE PATRIA,42,LIMARI,2,1,1,"-30,56689835","-70,78086853",0,110,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO
680,2018,844,3,ESCUELA PARTICULAR CERRILLOS DE RAPEL, ,65122614,1,4,43,4303,MONTE PATRIA,42,LIMARI,3,2,1,"-30,70347404","-70,82946777",0,110,0,0,0,0,0,0,0,0,1,1,7,LAICA,GRATUITO,GRATUITO
681,2018,845,1,LICEO SAMUEL ROMAN ROJAS, ,69041100,1,4,43,4302,COMBARBALA,42,LIMARI,2,1,0,"-31,17821884","-71,00035858",1,310,363,410,710,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
682,2018,847,8,ESCUELA BASICA AMERICA, ,69041100,1,4,43,4302,COMBARBALA,42,LIMARI,2,1,0,"-31,17555428","-71,00128937",1,10,110,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO
683,2018,848,6,ESCUELA ALEJANDRO CHELEN ROJAS, ,69040800,1,4,43,4303,MONTE PATRIA,42,LIMARI,2,1,0,"-30,88028526","-71,01116943",1,10,110,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
684,2018,849,4,ESCUELA BASICA JUANITA FERNANDEZ SOLAR, ,69041100,1,4,43,4302,COMBARBALA,42,LIMARI,2,1,1,"-31,09191513","-70,95639801",1,10,110,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO
685,2018,850,8,ESCUELA JUAN LUIS SAN FUENTES, ,69041100,1,4,43,4302,COMBARBALA,42,LIMARI,2,1,1,"-31,04271889","-71,04064178",1,110,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO
686,2018,851,6,ESCUELA BASICA ARTURO PEREZ CANTO, ,69041100,1,4,43,4302,COMBARBALA,42,LIMARI,2,1,1,"-30,95408249","-71,06774139",1,10,110,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO
687,2018,852,4,ESCUELA BASICA PEDRO DE VALDIVIA, ,69041100,1,4,43,4302,COMBARBALA,42,LIMARI,2,1,1,"-31,11697769","-71,1604538",1,10,110,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO
688,2018,853,2,ESCUELA DOMINGO FAUSTINO SARMIENTO, ,69041100,1,4,43,4302,COMBARBALA,42,LIMARI,2,1,1, , ,0,0,0,0,0,0,0,0,0,0,0,2,9, ,SIN INFORMACION,SIN INFORMACION
689,2018,854,0,ESCUELA RAFAEL SOTOMAYOR, ,69041100,1,4,43,4302,COMBARBALA,42,LIMARI,2,1,1,"-31,3159761","-71,05156099",0,0,0,0,0,0,0,0,0,0,0,3,1, ,GRATUITO,GRATUITO
690,2018,856,7,ESCUELA IRENE MORALES, ,69041100,1,4,43,4302,COMBARBALA,42,LIMARI,2,1,1,"-31,1828172","-71,12563973",0,0,0,0,0,0,0,0,0,0,0,2,2, ,GRATUITO,GRATUITO
691,2018,857,5,ESCUELA LOS MORALES, ,69040800,1,4,43,4303,MONTE PATRIA,42,LIMARI,2,1,1,"-30,89891624","-71,02437592",1,110,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO
692,2018,859,1,ESCUELA REBECA MATTE DE INIGUEZ, ,69041100,1,4,43,4302,COMBARBALA,42,LIMARI,2,1,1,"-30,91045189","-71,18801117",0,110,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO
693,2018,861,3,ESCUELA BASICA MANUEL BAQUEDANO, ,69041100,1,4,43,4302,COMBARBALA,42,LIMARI,2,1,1,"-30,91652107","-71,18516541",0,0,0,0,0,0,0,0,0,0,0,2,2, ,GRATUITO,GRATUITO
694,2018,862,1,ESCUELA ESTRELLA DE BELEN, ,69041100,1,4,43,4302,COMBARBALA,42,LIMARI,2,1,1,"-31,05567169","-70,89394379",0,110,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO
695,2018,864,8,ESCUELA BASICA VIOLETA PARRA SANDOVAL, ,69041100,1,4,43,4302,COMBARBALA,42,LIMARI,2,1,1,"-31,24154854","-71,01577759",0,110,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO
696,2018,865,6,ESCUELA BASICA DANIEL BARROS GREZ, ,69041100,1,4,43,4302,COMBARBALA,42,LIMARI,2,1,1,"-31,0855732","-71,21302795",1,110,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
697,2018,866,4,ESCUELA BASICA OSCAR CASTRO ZUNIGA, ,69041100,1,4,43,4302,COMBARBALA,42,LIMARI,2,1,1,"-31,17784473","-71,00208788",0,0,0,0,0,0,0,0,0,0,0,2,2, ,GRATUITO,SIN INFORMACION
698,2018,867,2,ESCUELA SAN JUDAS TADEO DE CARCAMO, ,69040800,1,4,43,4303,MONTE PATRIA,42,LIMARI,2,1,1,"-30,9425464","-70,89971775",0,0,0,0,0,0,0,0,0,0,0,2,2, ,GRATUITO,GRATUITO
699,2018,868,0,ESCUELA AMERICA DE SUR, ,69041100,1,4,43,4302,COMBARBALA,42,LIMARI,2,1,1,"-31,20378876","-70,97875977",1,110,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO
700,2018,869,9,ESCUELA BASICA REBECA PONCE DE LEON V., ,69041100,1,4,43,4302,COMBARBALA,42,LIMARI,2,1,1,"-31,07399178","-71,14163208",1,110,0,0,0,0,0,0,0,0,1,1,7,LAICO,GRATUITO,GRATUITO
701,2018,870,2,ESCUELA BASICA CAMILO HENRIQUEZ GONZALEZ, ,69041100,1,4,43,4302,COMBARBALA,42,LIMARI,2,1,1,"-31,26140785","-71,00153351",1,110,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO
702,2018,871,0,ESCUELA BASICA LUIS ENRIQUE BOU PEREZ, ,69041100,1,4,43,4302,COMBARBALA,42,LIMARI,2,1,1,"-31,10400581","-70,92060089",1,110,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO
703,2018,872,9,ESCUELA BASICA ROSITA OHIGGINS, ,69041100,1,4,43,4302,COMBARBALA,42,LIMARI,2,1,1,"-31,10881805","-71,11036682",0,110,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,SIN INFORMACION
704,2018,874,5,ESCUELA BASICA LAURITA VICUNA, ,69041100,1,4,43,4302,COMBARBALA,42,LIMARI,2,1,1,"-31,23445702","-71,04401398",0,110,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO
705,2018,875,3,ESCUELA BASICA PEDRO LIRA RENCORET, ,69041100,1,4,43,4302,COMBARBALA,42,LIMARI,2,1,1,"-31,00039482","-70,90685272",0,110,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO
706,2018,876,1,ESCUELA BASICA CLAUDIO MATTE, ,69041100,1,4,43,4302,COMBARBALA,42,LIMARI,2,1,1,"-30,94961357","-71,18883514",1,10,110,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO
707,2018,878,8,ESCUELA JOSE JOAQUIN VALLEJOS, ,69041100,1,4,43,4302,COMBARBALA,42,LIMARI,2,1,1,"-31,06631848","-71,19846872",0,0,0,0,0,0,0,0,0,0,0,2,2, ,GRATUITO,GRATUITO
708,2018,879,6,ESCUELA BASICA BENJAMIN VICUNA MACKENNA, ,69041100,1,4,43,4302,COMBARBALA,42,LIMARI,2,1,1,"-31,03064728","-71,17722321",1,110,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO
