,AGNO,RBD,DGV_RBD,NOM_RBD,MRUN,RUT_SOSTENEDOR,P_JURIDICA,COD_REG_RBD,NOM_REG_RBD_A,COD_PRO_RBD,COD_COM_RBD,NOM_COM_RBD,COD_DEPROV_RBD,NOM_DEPROV_RBD,COD_DEPE,COD_DEPE2,RURAL_RBD,LATITUD,LONGITUD,CONVENIO_PIE,ENS_01,ENS_02,ENS_03,ENS_04,ENS_05,ENS_06,ENS_07,ENS_08,ENS_09,ENS_10,ENS_11,MATRICULA,ESTADO_ESTAB,ORI_RELIGIOSA,ORI_OTRO_GLOSA,PAGO_MATRICULA,PAGO_MENSUAL
444,2019,564,9,COLEGIO LA ESTRELLA, ,70892100,1,4,COQ,41,4101,LA SERENA,41,ELQUI,1,1,1,"-30,034971240000","-71,109519960000",0,110,0,0,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO
445,2019,565,7,COLEGIO ADVENTISTA LA SERENA, ,65102254,1,4,COQ,41,4101,LA SERENA,41,ELQUI,3,2,0,"-29,935125350000","-71,275390630000",1,10,110,310,0,0,0,0,0,0,0,0,1,1,7,ADVENTISTA,$1.000 A $10.000,$25.001 A $50.000
446,2019,566,5,COLEGIO ISABEL RIQUELME, ,65145557,1,4,COQ,41,4101,LA SERENA,41,ELQUI,3,2,0,"-29,883222580000","-71,225120540000",1,10,110,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
447,2019,567,3,COLEGIO SAN FRANCISCO COLL, ,74068000,1,4,COQ,41,4101,LA SERENA,41,ELQUI,3,2,0,"-29,879034040000","-71,245613100000",1,10,110,310,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO
448,2019,568,1,COLEGIO SAN ANTONIO, ,70734000,1,4,COQ,41,4101,LA SERENA,41,ELQUI,3,2,0,"-29,904460910000","-71,249534610000",0,10,110,310,0,0,0,0,0,0,0,0,1,1,2, ,$50.001 A $100.000,$50.001 A $100.000
449,2019,570,3,COLEGIO ELENA BETTINI, ,70105700,1,4,COQ,41,4101,LA SERENA,41,ELQUI,3,2,0,"-29,908178330000","-71,253417970000",1,10,110,310,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,$25.001 A $50.000
450,2019,571,1,ESC.ESPEC.LOS PENSAMIENTOS DE JUAN XXIII, ,65024466,1,4,COQ,41,4101,LA SERENA,41,ELQUI,3,2,0,"-29,939386000000","-71,261240000000",0,212,0,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
451,2019,573,8,ESCUELA PARTICULAR TERESA VIDELA DE G, ,73116300,1,4,COQ,41,4101,LA SERENA,41,ELQUI,3,2,0,"-29,924369810000","-71,256706240000",0,10,110,310,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,$50.001 A $100.000
452,2019,574,6,ESCUELA INDUSTRIAL SALESIANA SAN RAMON, ,80230500,1,4,COQ,41,4101,LA SERENA,41,ELQUI,3,2,0,"-29,909751890000","-71,252021790000",1,110,510,0,0,0,0,0,0,0,0,0,1,1,2, ,$1.000 A $10.000,$25.001 A $50.000
453,2019,575,4,COLEGIO PROVIDENCIA, ,65082584,1,4,COQ,41,4101,LA SERENA,41,ELQUI,3,2,0,"-29,902235030000","-71,240905760000",0,110,410,610,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO
